order	cpd_name	class	rt	sample	match_score	abund	all_classes	formula	simple_cpd_name
1	"(E)-4,8-Dimethylnona-1,3,7-triene"	terpene	1112.5	56			"terpene,alk"	C11H18	"(E)-4,8-Dimethylnona-1,3,7-triene"
2	"(S)-3,3,6-Trimethylhepta-1,5-dien-4-yl acetate"	ester	1189.5	178	0.964680537	33927525.18	"ester,terpene"	C12H20O2	Artemisyl acetate
3	.alpha.-Farnesene	terpene	1597	56			"terpene,alk"	C15H24	.alpha.-Farnesene
4	.alpha.-Methylstyrene	aromatic	969	60	0.992901652	48312466.95	"benzene,aromatic,alk"	C9H10	.alpha.-Methylstyrene
5	.alpha.-Pinene	terpene	889.5	43			"terpene,alk"	C10H16	.alpha.-Pinene
6	.alpha.-Terpineol	terpene	1268	25	0.959066854	40256379.08	"terpene,alcohol"	C10H18O	.alpha.-Terpineol
7	.beta.-Myrcene	terpene	947.5	56			"terpene,alk"	C10H16	.beta.-Myrcene
8	.beta.-Ocimene	terpene	1025.5	49			"terpene,alk"	C10H16	.beta.-Ocimene
9	.beta.-Pinene	terpene	954.5	45			"terpene,alk"	C10H16	.beta.-Pinene
10	"1,3-Octadiene"	alk	709.5	108			alk	C8H14	"1,3-Octadiene"
11	1-Butanol	alcohol	529.5	192	0.992589722	77816795.38	alcohol	C4H10O	1-Butanol
12	"1-Butanol, 3-methyl-"	alcohol	629.5	13			alcohol	C5H12O	Isoamyl alcohol
13	1-Decanol	alcohol	934	158	0.9767335	6135651.153	alcohol	C10H22O	1-Decanol
14	1-Dodecanol	alcohol	1189.5	130	0.99024874	98169111.14	alcohol	C12H26O	1-Dodecanol
15	1-Heptanol	alcohol	960	125	0.994036827	67025810.68	alcohol	C7H16O	1-Heptanol
16	1-Hexanol	alcohol	823	11	0.993208684	76185479.81	alcohol	C6H14O	1-Hexanol
17	"1-Hexanol, 2-ethyl-"	alcohol	1043	172	0.988348803	81687603.19	alcohol	C8H18O	2-Ethyl-1-hexanol
18	"1H-Pyrrole, 2-methyl-"	NS	829.5	196	0.974372088	7774477.437	"nitrogen,pyrrole,aromatic"	C5H7N	2-Methyl-1H-pyrrole
19	1-Nonene	alk	795.5	43			alk	C9H18	1-Nonene
20	1-Octen-3-ol	alcohol	971.5	51	0.978777399	19577738.47	alcohol	C8H16O	1-Octen-3-ol
21	1-Octene	alk	652	43	0.995004382	12832936.31	alk	C8H16	1-Octene
22	1-Pentanol	alcohol	676	11			alcohol	C5H12O	1-Pentanol
23	1-Penten-3-ol	alcohol	552.5	107			alcohol	C5H10O	1-Penten-3-ol
24	"2(5H)-Furanone, 3-methyl-"	ester	1058.5	177	0.982711689	21151883.83	"lactone,ester"	C5H6O2	3-Methyl-2(5H)-furanone
